Comune,Opera,Profondità,Longitudine_WGS84,Latitudine_WGS84,URL,LEGENDA
LAUREANA DI BORRELLO,POZZO PER ACQUA,211,16°02'54.67''E,38°28'53.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176355,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,82,16°03'02.89''E,38°24'26.81''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16594,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,80,15°59'28.64''E,38°31'42.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175969,POZZI IDRICI
CINQUEFRONDI,POZZO PER ACQUA,118,16°04'58.69''E,38°24'50.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176261,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,52,16°01'35.69''E,38°25'11.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176331,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,102,16°02'41.68''E,38°25'05.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176659,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,86,16°03'34.70''E,38°25'28.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176603,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,56,16°00'29.70''E,38°25'06.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176857,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,55,15°58'31.66''E,38°28'03.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176956,POZZI IDRICI
SERRATA,POZZO PER ACQUA,40,16°06'05.10''E,38°31'45.21''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16698,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,116,15°57'28.66''E,38°34'43.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175680,POZZI IDRICI
ANOIA,POZZO PER ACQUA,90,16°02'49.67''E,38°26'46.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176186,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,35,16°02'45.67''E,38°30'30.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176953,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,70,16°00'21.67''E,38°22'44.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177082,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,95,16°01'23.66''E,38°26'56.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177031,POZZI IDRICI
CINQUEFRONDI,POZZO PER ACQUA,107,16°04'38.68''E,38°25'38.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176275,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,90,16°01'22.66''E,38°34'48.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175892,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,102,16°00'25.67''E,38°33'29.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175898,POZZI IDRICI
